# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1450	VOLKSWAGEN	Secondary Air Injection System Circuit Short To B+
P1451	BMW	Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Signal Low
P1451	BUICK	Barometric Pressure Sensor Performance
P1451	CADILLAC	Barometric Pressure Sensor Performance
P1451	CHEVY	Barometric Pressure Sensor Performance
P1451	CHRYSLER	Barometric Pressure Sensor Performance
P1451	FORD	EVAP Control System Canister Vent Solenoid Circuit Malfunction
P1451	GEO	Barometric Pressure Sensor Performance
P1451	GM	Barometric Pressure Sensor Performance
P1451	GMC	Barometric Pressure Sensor Performance
P1451	LINCOLN	EVAP Control System Canister Vent Solenoid Circuit Malfunction
P1451	MAZDA	Canister Vent Solenoid Circuit
P1451	MERCURY	EVAP Control System Canister Vent Solenoid Circuit Malfunction
P1451	OLDSMOBILE	Barometric Pressure Sensor Performance
P1451	OTHER	Evap Emission Control Sys Vent Control Valve Circuit
P1451	PLYMOUTH	Barometric Pressure Sensor Performance
P1451	PONTIAC	Barometric Pressure Sensor Performance
P1451	SATURN	Barometric Pressure Sensor Performance
P1451	SUZUKI	Barometric Pressure Sensor Performance
P1451	VOLKSWAGEN	Secondary Air Injection Circuit Short To Ground
P1452	BMW	Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Signal High
P1452	FORD	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1452	LINCOLN	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1452	MERCURY	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1452	OTHER	Unable To Bleed - Up Vacuum in Tank
P1452	VOLKSWAGEN	Secondary Air Injection System Circuit Open
P1453	BMW	Secondary Air Injection Pump Relay Control Circuit Electrical
P1453	JAGUAR	Fuel Tank Pressure Relief Valve Malfunction
P1453	OTHER	Fuel Tank Pressure Relief Valve Malfunction
P1453	VOLKSWAGEN	Exhaust Gas Temperature Sensor 1 Open Short To B+
P1454	BMW	Secondary Air Injection Pump With Series Resistor Control Circuit Electrical
P1454	JAGUAR	Evaporative Emission Control System Vacuum Test
P1454	OTHER	Evaporative System Vacuum Test Malfunction
P1454	VOLKSWAGEN	Exhaust Gas Temperature Sensor 1 Short To Ground
P1455	FORD	Substantial Leak or Blockage in Evaporative Emission Control System
P1455	KIA	Fuel Tank Sending Unit Open Or Short 1.8L
P1455	LINCOLN	Substantial Leak or Blockage in Evaporative Emission Control System
P1455	MAZDA	Fuel Tank Level Sensor Circuit
P1455	MERCURY	Substantial Leak or Blockage in Evaporative Emission Control System
P1455	OTHER	Evap Emission Control Sys Leak Detected (Gross Leak/No Flow)
P1455	VOLKSWAGEN	Exhaust Gas Temperature Sensor 1 Range Performance
P1456	ACURA	Evaporative Emission Control System Leak Detected Fuel Tank System
P1456	BMW	Heated Catalyst Heater Power Supply Open Circuit Bank 1
P1456	HONDA	Evaporative Emission Control System Leak Detected Fuel Tank System
P1456	INFINITI	Evaporative Emission Control System Leak Detected Fuel Tank System
P1456	MAZDA	Fuel Tank Temperature Sensor Circuit
P1456	OTHER	Fuel Tank Temperature Sensor Circuit Malfunction
P1456	VOLKSWAGEN	Exhaust Gas Temperature Control Bank 1 Limit Attained
P1457	ACURA	Evaporative Emission Control System Leak Detected Control Canister System
P1457	BMW	Heated Catalyst Heater Power Switch Temperature Sensor Electrical Bank 1
P1457	FORD	Unable To Pull Vacuum In Tank
P1457	HONDA	Evaporative Emission Control System Leak Detected Control Canister System
P1457	INFINITI	Evaporative Emission Control System Leak Detected Control Canister System
P1457	KIA	Purge Solenoid Valve Low System Malfunction
P1457	LINCOLN	Unable To Pull Vacuum In Tank
P1457	MAZDA	Purge Solenoid Control System
P1457	MERCURY	Unable To Pull Vacuum In Tank
P1457	OTHER	Unable To Pull Vacuum In Tank
P1457	VOLKSWAGEN	Exhaust Gas Temperature Sensor 2 Open Short To B+
P1458	KIA	A/C Compressor Clutch Signal Fault
P1458	MAZDA	A/C Compressor Clutch Signal Fault
P1458	VOLKSWAGEN	Exhaust Gas Temperature Sensor 2 Short To Ground
P1459	ACURA	EVAP Purge Flow Switch Malfunction
P1459	BMW	Heated Catalyst Heater Power Supply Open Circuit Bank 2
P1459	HONDA	EVAP Purge Flow Switch Malfunction
P1459	INFINITI	EVAP Purge Flow Switch Malfunction
P1459	VOLKSWAGEN	Exhaust Gas Temperature Sensor 2 Range Performance
P1460	BMW	Heated Catalyst Heater Power Switch Temperature Sensor Electrical Bank 2
P1460	BUICK	Cooling Fan Control System
P1460	CADILLAC	Cooling Fan Control System
P1460	CHEVY	Cooling Fan Control System
P1460	CHRYSLER	Cooling Fan Control System
P1460	FORD	Wide Open Throttle Air Conditioning Cutoff Circuit Malfunction
P1460	GEO	Cooling Fan Control System Fault
P1460	GM	Cooling Fan Control System
P1460	GMC	Cooling Fan Control System
P1460	LINCOLN	Wide Open Throttle Air Conditioning Cutoff Circuit Malfunction
P1460	MERCURY	Wide Open Throttle Air Conditioning Cutoff Circuit Malfunction
P1460	OLDSMOBILE	Cooling Fan Control System
P1460	OTHER	Wide open throttle A/C cutoff relay circuit
P1460	PLYMOUTH	Cooling Fan Control System
P1460	PONTIAC	Cooling Fan Control System
P1460	SATURN	Cooling Fan Control System
P1460	SUZUKI	Radiator Fan Control System Fault
P1460	VOLKSWAGEN	Exhaust Gas Temperature Control Bank 2 Limit Attained
P1461	BMW	Heated Catalyst Gate Voltage Signal Low
P1461	FORD	Air Conditioning Pressure Sensor Circuit Low Input
P1461	LINCOLN	Air Conditioning Pressure Sensor Circuit Low Input
P1461	MERCURY	Air Conditioning Pressure Sensor Circuit Low Input
P1461	OTHER	A/C pressure sensor circuit voltage low
P1461	VOLKSWAGEN	Exhaust Gas Temperature Control Bank 1 Range Performance
P1462	BMW	Heated Catalyst Internal Control Module Checksum ROM Error
P1462	FORD	Air Conditioning Pressure Sensor Circuit High Input
P1462	LINCOLN	Air Conditioning Pressure Sensor Circuit High Input
P1462	MERCURY	Air Conditioning Pressure Sensor Circuit High Input
P1462	OTHER	A/C pressure sensor circuit voltage high
P1462	VOLKSWAGEN	Exhaust Gas Temperature Control Bank 2 Range Performance
P1463	BMW	Heated Catalyst Battery Temperature Sensor 1 Electrical
P1463	FORD	Air Conditioning Pressure Sensor Insufficient Pressure Change
P1463	LINCOLN	Air Conditioning Pressure Sensor Insufficient Pressure Change
P1463	MERCURY	Air Conditioning Pressure Sensor Insufficient Pressure Change
P1463	OTHER	A/C Pressure Sensor Insufficient Pressure Change
P1464	BMW	Heated Catalyst Battery Temperature Sensor 2 Electrical
P1464	FORD	ACCS to PCM High During Self-Test
P1464	LINCOLN	ACCS to PCM High During Self-Test
P1464	MERCURY	ACCS to PCM High During Self-Test
P1464	NISSAN	Fuel Level Sensor Circuit Ground Signal
P1464	OTHER	A/C Demand Out of Self Test Range
P1465	BMW	Heated Catalyst Battery Temperature Sensor 1 or 2 Plausibility
P1465	FORD	A/C Relay Circuit Malfunction
P1465	LINCOLN	A/C Relay Circuit Malfunction
P1465	MERCEDES	EPW Power
P1465	MERCURY	A/C Relay Circuit Malfunction
P1465	OTHER	A/C Relay Circuit Malfunction
P1465	VOLKSWAGEN	Additive Pump Short To B+
P1466	BMW	Heated Catalyst Power Switch Temperature Sensor Plausibility
P1466	FORD	A/C Refrigerant Temperature Sensor Circuit Malfunction
P1466	LINCOLN	A/C Refrigerant Temperature Sensor Circuit Malfunction
P1466	MERCURY	A/C Refrigerant Temperature Sensor Circuit Malfunction
P1466	OTHER	A/C Refrigerant Temperature Sensor/Circuit Malfunction
P1466	VOLKSWAGEN	Additive Pump Open Short To Ground
P1467	BMW	Heated Catalyst Comparison Battery Voltages of Power Switches Plausibility
P1467	OTHER	A/C Compressor Temperature Sensor Malfunction
P1467	VOLKSWAGEN	EVAP Canister Purge Solenoid Valve Short To B+
P1468	BMW	Heated Catalyst Battery Disconnecting Switch Plausibility
P1468	OTHER	SSPOD Open Circuit or Closed Circuit Fault
P1468	VOLKSWAGEN	EVAP Canister Purge Solenoid Valve Short To Ground
P1469	FORD	Low Air Conditioning Cycling Period
P1469	LINCOLN	Low Air Conditioning Cycling Period
P1469	MERCURY	Low Air Conditioning Cycling Period
P1469	OTHER	Low A/C Cycling Period
P1469	VOLKSWAGEN	EVAP Canister Purge Solenoid Valve Open
P1470	BMW	Leakage Diagnostic Pump Control Circuit Electrical
P1470	MERCEDES	Pressure Control Flap Vacuum Transducer Y312
P1470	OTHER	A/C Cycling Period Too Short
P1470	VOLKSWAGEN	EVAP Emission Control System LDP Circuit Electrical Malfunction
P1471	OTHER	Electrodrive Fan 1 Operational Failure (Driver Side)
P1471	VOLKSWAGEN	EVAP Emission Control System LDP Circuit Short To B+
P1472	BMW	Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Electrical
P1472	OTHER	Electrodrive Fan 2 Operational Failure (Passenger Side)
P1472	VOLKSWAGEN	EVAP Emission Control System LDP Circuit Short To Ground
P1473	BMW	Diagnostic Module Tank Leakage DM-TL Pump Current Plausibility
P1473	FORD	Fan Secondary High with Fans Off
P1473	LINCOLN	Fan Secondary High with Fans Off
P1473	MERCURY	Fan Secondary High with Fans Off
P1473	OTHER	Fan Secondary High With Fan(s) Off
P1473	VOLKSWAGEN	EVAP Emission Control System LDP Open Circuit
P1474	FORD	Low Fan Control Primary Circuit
P1474	LINCOLN	Low Fan Control Primary Circuit
P1474	MERCURY	Low Fan Control Primary Circuit
P1474	OTHER	Low Fan Control Primary Circuit Malfunction
P1475	BMW	Leakage Diagnostic Pump Reed Switch Did Not Close
P1475	DODGE	Auxiliary 5 Volt Output Too High
P1475	JAGUAR	Fan Relay Low Circuit
P1475	JEEP	Auxiliary 5 Volt Output Too High
P1475	MAZDA	Fan Relay Low Circuit
P1475	MERCEDES	Resonance Intake Line Switchover Valve Y227
P1475	OTHER	Fan Relay (Low) Circuit Malfunction
P1475	VOLKSWAGEN	EVAP Emission Control System LDP Malfunction Signal Circuit Open
P1476	BMW	Leakage Diagnostic Pump Clamped Tube
P1476	DODGE	Too Little Secondary Air
P1476	JAGUAR	Fan Relay High Circuit
P1476	JEEP	Too Little Secondary Air
P1476	MAZDA	Fan Relay High Circuit
P1476	MERCEDES	Resonance Intake Manifold Switchover Valve Y226
P1476	OTHER	Fan Relay (High) Circuit Malfunction
P1476	VOLKSWAGEN	EVAP Emission Control System LDP Malfunction Insufficient Vacuum
P1477	BMW	Leakage Diagnostic Pump Reed Switch Did Not Open
P1477	DODGE	Too Much Secondary Air
P1477	JEEP	Too Much Secondary Air
P1477	OTHER	Additional Fan Relay Circuit Malfunction
P1477	VOLKSWAGEN	EVAP Emission Control System LDP Malfunction
P1478	DODGE	Battery Temp Sensor Voltage Out Of Limit
P1478	JEEP	Battery Temp Sensor Voltage Out Of Limit
P1478	OTHER	Cooling Fan Driver Fault
P1478	VOLKSWAGEN	EVAP Emission Control System LDP Clamped Tube Detected
P1479	DODGE	Transmission Fan Relay Circuit Open Or Shorted
P1479	FORD	High Fan Control Primary Circuit
P1479	JEEP	Transmission Fan Relay Circuit Open Or Shorted
P1479	LINCOLN	High Fan Control Primary Circuit
P1479	MERCURY	High Fan Control Primary Circuit
P1479	OTHER	High Fan Control Primary Circuit Malfunction
P1480	BUICK	Cooling Fan 1 Control Circuit High
P1480	CADILLAC	Cooling Fan 1 Control Circuit High
P1480	CHEVY	Cooling Fan 1 Control Circuit High
P1480	CHRYSLER	Cooling Fan 1 Control Circuit High
P1480	DODGE	PCV Solenoid Valve Open Or Shorted
P1480	FORD	Fan Secondary Low with Low Fans On
P1480	GM	Cooling Fan 1 Control Circuit High
P1480	GMC	Cooling Fan 1 Control Circuit High
P1480	JEEP	PCV Solenoid Valve Open Or Shorted
P1480	LINCOLN	Fan Secondary Low with Low Fans On
P1480	MERCEDES	Preglow Control
P1480	MERCURY	Fan Secondary Low with Low Fans On
P1480	OLDSMOBILE	Cooling Fan 1 Control Circuit High
P1480	OTHER	Fan Secondary Low with Low Fan On
P1480	PLYMOUTH	PCV Solenoid Valve Open Or Shorted
P1480	PONTIAC	PCV Solenoid Valve Open Or Shorted
P1480	SATURN	Cooling Fan 1 Control Circuit High
P1480	SUBARU	Cooling Fan Relay 1 Circuit High Input
P1481	DODGE	EATX RPM Pulse Generator Signal For Misfire Detection
P1481	FORD	Fan Secondary Low with High Fans On
P1481	JEEP	EATX RPM Pulse Generator Signal For Misfire Detection
P1481	LINCOLN	Fan Secondary Low with High Fans On
P1481	MERCEDES	Glow Plug Failure
P1481	MERCURY	Fan Secondary Low with High Fans On
P1481	OTHER	Fan Secondary Low With High Fan On
P1481	PLYMOUTH	EATX RPM pulse generator signal for misfire detection
P1481	PONTIAC	EATX RPM pulse generator signal for misfire detection
P1482	DODGE	Catalyst Temperature Sensor Circuit Shorted Low
P1482	FORD	SCP
P1482	JEEP	Catalyst Temperature Sensor Circuit Shorted Low
P1482	LINCOLN	SCP
P1482	MERCEDES	Preglow Control Module N142
P1482	MERCURY	SCP
P1482	OTHER	SCP
P1482	PLYMOUTH	Catalyst Temperature Sensor Circuit Shorted Low
P1482	PONTIAC	Catalyst Temperature Sensor Circuit Shorted Low
P1483	BUICK	Engine Coolilng System Performance
P1483	CADILLAC	Engine Cooling System Performance
P1483	CHEVY	Engine Coolilng System Performance
P1483	CHRYSLER	Engine Coolilng System Performance
P1483	DODGE	Catalyst Temperature Sensor Circuit Shorted High
P1483	FORD	Power to Cooling Fan Exceeded Normal Draw
P1483	GM	Engine Coolilng System Performance
P1483	GMC	Engine Coolilng System Performance
P1483	JEEP	Catalyst Temperature Sensor Circuit Shorted High
P1483	LINCOLN	Power to Cooling Fan Exceeded Normal Draw
P1483	MERCURY	Power to Cooling Fan Exceeded Normal Draw
P1483	OLDSMOBILE	Engine Cooling System Performance
P1483	OTHER	Power To Fan Circuit Overcurrent
P1483	PLYMOUTH	Catalyst Temperature Sensor Circuit Shorted High
P1483	PONTIAC	Catalyst Temperature Sensor Circuit Shorted High
P1483	SATURN	Engine Coolilng System Performance
P1484	DODGE	Catalytic Converter Overheat Detected
P1484	FORD	Variable Load Control Module Pin 1 Open
P1484	JEEP	Catalytic Converter Overheat Detected
P1484	LINCOLN	Variable Load Control Module Pin 1 Open
P1484	MERCURY	Variable Load Control Module Pin 1 Open
P1484	OTHER	Open Power To Ground VCRM
P1484	PLYMOUTH	Catalytic Converter Overheat Detected
P1484	PONTIAC	Catalytic Converter Overheat Detected
P1485	DODGE	Air Injection Solenoid Circuit Open Or Shorted
P1485	FORD	EGRV Circuit Malfunction
P1485	JEEP	Air Injection Solenoid Circuit Open Or Shorted
P1485	KIA	EGR Vent Control Solenoid Circuit Fault
P1485	LINCOLN	EGRV Circuit Malfunction
P1485	MERCURY	EGRV Circuit Malfunction
P1485	OTHER	EGRV Circuit Malfunction
P1485	PLYMOUTH	Air Injection Solenoid Circuit Open Or Shorted
P1485	PONTIAC	Air Injection Solenoid Circuit Open Or Shorted
P1486	DODGE	Evap Leak Monitor Pinched Hose
P1486	JEEP	Evap Leak Monitor Pinched Hose
P1486	KIA	EGR Vacuum Control Solenoid Circuit Fault
P1486	MITSUBISHI	EVAP Leak Monitor Pinched Hose Detected
P1486	OTHER	EGRA Circuit Malfunction
P1486	PLYMOUTH	Evap Leak Monitor Pinched Hose
P1486	PONTIAC	Evap Leak Monitor Pinched Hose
P1487	DODGE	Hi Speed Rad Fan CTRL Relay Circuit Open Or Shorted
P1487	JEEP	Hi Speed Rad Fan CTRL Relay Circuit Open Or Shorted
P1487	KIA	EGR Boost Sensor Solenoid Circuit Fault
P1487	MITSUBISHI	High Speed Radiator Fan Control Relay Circuit Fault
P1487	OTHER	EGRCHK Solenoid Circuit Malfunction
P1487	PLYMOUTH	Hi Speed Rad Fan CTRL Relay Circuit Open Or Shorted
P1487	PONTIAC	Hi Speed Rad Fan CTRL Relay Circuit Open Or Shorted
P1488	DODGE	Auxiliary 5 Volt Supply Output Too Low
P1488	JEEP	Auxiliary 5 Volt Supply Output Too Low
P1488	PLYMOUTH	Auxiliary 5 Volt Supply Output Too Low
P1488	PONTIAC	Auxiliary 5 Volt Supply Output Too Low
P1489	DODGE	High Speed Fan CTRL Relay Circuit Open Or Shorted
P1489	JEEP	High Speed Fan CTRL Relay Circuit Open Or Shorted
P1489	MITSUBISHI	High Speed Condenser Fan Control Relay Fault
P1489	PLYMOUTH	High Speed Fan CTRL Relay Circuit Open Or Shorted
P1489	PONTIAC	High Speed Fan CTRL Relay Circuit Open Or Shorted
P1490	DODGE	Low Speed Fan CTRL Relay Circuit Open Or Shorted
P1490	JEEP	Low Speed Fan CTRL Relay Circuit Open Or Shorted
P1490	MITSUBISHI	Low Speed Fan Control Relay Fault
P1490	NISSAN	Vacuum Cut Valve Bypass Valve Circuit
P1490	OTHER	Secondary Air Relief Solenoid Circuit Malfunction
P1490	PLYMOUTH	Low Speed Fan CTRL Relay Circuit Open Or Shorted
P1490	PONTIAC	Low Speed Fan CTRL Relay Circuit Open Or Shorted
P1491	ACURA	EGR Valve Lift Insufficient Detected
P1491	DODGE	Radiator Fan Control Relay Circuit Open Or Shorted
P1491	HONDA	EGR Valve Lift Insufficient Detected
P1491	INFINITI	EGR Valve Lift Insufficient Detected
P1491	JEEP	Radiator Fan Control Relay Circuit Open Or Shorted
P1491	NISSAN	Vacuum Cut Valve Bypass Valve
P1491	OTHER	Secondary Switch Solenoid Circuit Malfunction
P1491	PLYMOUTH	Radiator Fan Control Relay Circuit Open Or Shorted
P1491	PONTIAC	Radiator Fan Control Relay Circuit Open Or Shorted
P1492	DODGE	Battery Temperature Sensor Voltage Too High
P1492	JEEP	Battery Temperature Sensor Voltage Too High
P1492	MITSUBISHI	Battery Temperature Sensor High Voltage
P1492	NISSAN	EVAP Canister Purge Control Solenoid Valve Circuit
P1492	OTHER	APLSOL Solenoid Circuit Malfunction
P1492	PLYMOUTH	Battery Temperature Sensor Voltage Too High
P1492	PONTIAC	Battery Temperature Sensor Voltage Too High
P1493	DODGE	Battery Temperature Sensor Voltage Too Low
P1493	JEEP	Battery Temperature Sensor Voltage Too Low
P1493	NISSAN	EVAP Canister Purge Control Valve Solenoid Valve
P1493	OTHER	RCNT Solenoid Circuit Malfunction
P1493	PLYMOUTH	Battery Temperature Sensor Voltage Too Low
P1493	PONTIAC	Battery Temperature Sensor Voltage Too Low
P1494	DODGE	Leak Detection Pump Switch Or Mechanical Fault
P1494	JEEP	Leak Detection Pump Switch Or Mechanical Fault
P1494	MITSUBISHI	EVAP Ventilation Switch Or Mechanical Fault
P1494	OTHER	SPCUT Solenoid Circuit Malfunction
P1494	PLYMOUTH	Leak Detection Pump Switch Or Mechanical Fault
P1494	PONTIAC	Leak Detection Pump Switch Or Mechanical Fault
P1495	DODGE	Leak Detection Pump Solenoid Circuit Open Or Shorted
P1495	JEEP	Leak Detection Pump Solenoid Circuit Open Or Shorted
P1495	MITSUBISHI	EVAP Ventilation Solenoid Circuit Fault
P1495	OTHER	TCSPL Solenoid Circuit Malfunction
P1495	PLYMOUTH	Leak Detection Pump Solenoid Circuit Open Or Shorted
P1495	PONTIAC	Leak Detection Pump Solenoid Circuit Open Or Shorted
P1496	DODGE	5 Volt Supply Output Too Low
P1496	JEEP	5 Volt Supply Output Too Low
P1496	KIA	EGR Stepper Motor Malfunction Circuit 1 1.8L
P1496	MITSUBISHI	5 Volt Supply Output Too Low
P1496	PLYMOUTH	5 Volt Supply Output Too Low
P1496	PONTIAC	5 Volt Supply Output Too Low
P1497	KIA	EGR Stepper Motor Malfunction Circuit 2 1.8L
P1498	ACURA	EGR Valve Lift Sensor High Voltage
P1498	DODGE	High Speed Rad Fan Ground CTRL Rly Circuit
P1498	HONDA	EGR Valve Lift Sensor High Voltage
P1498	INFINITI	EGR Valve Lift Sensor High Voltage
P1498	JEEP	High Speed Rad Fan Ground CTRL Rly Circuit
P1498	KIA	EGR Stepper Motor Malfunction Circuit 3 1.8L
P1498	PLYMOUTH	High speed Rad Fan Ground CTRL Rly Circuit
P1498	PONTIAC	High speed Rad Fan Ground CTRL Rly Circuit
P1499	DODGE	Open Or Shorted Condition Detected In The Hydraulic Cooling Fan Solenoid Control
P1499	JEEP	Open Or Shorted Condition Detected In The Hydraulic Cooling Fan Solenoid Control
P1499	KIA	EGR Stepper Motor Malfunction Circuit 4 1.8L
P1499	PLYMOUTH	Open Or Shorted Condition Detected In The Hydraulic Cooling Fan Solenoid Control
P1499	PONTIAC	Open Or Shorted Condition Detected In The Hydraulic Cooling Fan Solenoid Control
P1500	BMW	Idle Speed Control Valve Stuck Open
P1500	BUICK	Starter Signal Circuit
P1500	CADILLAC	Starter Signal Circuit
P1500	CHEVY	Starter Signal Circuit
P1500	CHRYSLER	Starter Signal Circuit
P1500	FORD	Vehicle Speed Sensor Intermittent
P1500	GEO	Starter Signal Circuit Fault
P1500	GM	Starter Signal Circuit
P1500	GMC	Starter Signal Circuit
P1500	KIA	No Vehicle Speed Signal to TCM
P1500	LEXUS	Starter Signal Circuit Malfunction
P1500	LINCOLN	Vehicle Speed Sensor Intermittent
P1500	MERCURY	Vehicle Speed Sensor Intermittent
P1500	MITSUBISHI	Alternator FR Terminal Circuit
P1500	OLDSMOBILE	Starter Signal Circuit
P1500	OTHER	Vehicle Speed Sensor Intermittent
P1500	SATURN	Starter Signal Circuit
P1500	SUBARU	Radiator Fan Relay 1 Circuit Malfunction
P1500	SUZUKI	Engine Starter Signal Circuit Fault
P1500	TOYOTA	Starter Signal Circuit
P1500	VOLKSWAGEN	Fuel Pump Relay Electrical Circuit Malfunction
P1501	BMW	Idle Speed Control Valve Stuck Closed
P1501	BUICK	Vehicle Speed Sensor Circuit Intermittent
P1501	CADILLAC	Vehicle Speed Sensor Circuit Intermittent
P1501	CHEVY	Vehicle Speed Sensor Circuit Intermittent
